userId,movieId,rating,timestamp
5163,57669,4.0,1518349992
106343,5,4.5,1206238739
146790,5459,5.0,1076215539
106362,32296,2.0,1423042565
9041,366,3.0,833375837
120949,81768,3.0,1289595242
19630,62049,4.0,1246729817
21066,2282,1.0,945785907
117563,120474,4.0,1515108225
144018,1997,5.0,1109967647
40858,5025,3.5,1090061607
80119,92259,3.5,1435635534
6063,33493,3.0,1236048966
97844,1784,3.5,1111630438
55909,3978,2.5,1111555006
12942,48394,0.5,1280365881
161472,3355,4.0,1229975011
117890,152077,3.5,1488975758
46581,108190,2.0,1465961865
33970,1265,4.0,1463280090
109194,2011,4.0,1547944460
95075,41571,3.0,1141842530
57239,150,4.0,997154778
118706,116660,4.0,1568906543
109406,6213,3.5,1363915443
146347,1129,4.0,974748535
89538,6538,3.5,1288027099
80854,2716,4.0,941616924
30258,4993,4.5,1114161086
130817,2791,5.0,1463917580
50882,89745,5.0,1549949960
11932,53125,3.0,1482034292
157019,64983,4.0,1538177181
36810,2012,1.0,942666645
13626,974,4.0,851978329
127966,1240,4.0,963680930
104941,1909,5.0,975054915
20435,187593,5.0,1547493321
51014,56757,2.0,1287106220
131295,103042,1.5,1465233726
58822,1580,4.0,1250129896
113429,1909,3.0,1032117901
142156,3991,1.0,1331437340
106144,30793,3.5,1136843022
129978,96691,0.5,1389694200
132928,2054,3.0,1114047617
110466,8984,3.5,1487725400
80247,4069,3.0,1313034518
23462,2671,3.0,1012641979
112549,1247,4.0,1146579055
144777,46965,1.0,1428259579
56003,7147,3.5,1429643796
31375,2336,5.0,941793773
97452,6998,3.5,1308144440
42627,3006,5.0,980707026
135937,3471,3.0,1028676358
56877,783,4.0,959443573
95600,4195,4.0,1434380093
134481,1173,3.0,1040674930
149796,40815,3.5,1205789877
9512,318,4.0,1113025001
126364,520,2.0,842013271
75830,2713,4.0,1183739672
66541,733,3.0,951451227
14537,6748,2.5,1261618280
22508,208,1.0,973727227
109269,56145,4.5,1485690009
21822,1196,4.0,1500835745
78604,4020,2.5,1220329548
60171,788,3.5,1500624464
43426,4226,4.0,1540168997
64344,50,3.5,1297529216
61957,79091,1.0,1481425674
68397,165,3.5,1140159512
84393,4148,3.5,1054459079
144825,26464,2.0,1432494309
95656,903,4.5,1144755097
135358,2366,3.5,1171140291
43659,1208,4.0,903467938
68756,6377,4.5,1097075978
122043,5995,4.5,1447957677
38106,724,4.0,919947808
121814,296,5.0,941308975
78171,3104,4.5,1147912081
78308,2291,2.0,1158469462
131968,2700,4.5,1242764637
55164,125596,1.5,1454398602
81171,3273,1.0,996010496
151883,5785,3.0,1500189797
62600,19,1.0,844707442
59260,2115,4.0,965874886
146516,168248,3.5,1491984607
31680,144606,3.0,1484390969
73118,1020,4.0,1290960878
74596,33264,5.0,1529862981
25151,4564,4.0,1010851224
22283,140016,4.0,1455072771
49902,590,5.0,1098801019
59951,8958,4.0,1494973223
129683,3409,3.0,1011099973
10218,527,5.0,1425838623
118196,32825,3.5,1388346850
68772,7206,4.0,1122373546
57467,2322,3.0,969861476
140050,596,5.0,958099938
116113,27808,3.5,1560903165
58808,1242,4.0,954902933
31549,115617,4.0,1474961571
108246,2572,1.5,1288955329
142533,61250,3.0,1497326300
20479,2686,0.5,1227787416
98781,858,4.0,1215462915
34322,953,3.0,952493762
129218,185,3.0,847970908
101823,1527,3.0,1143621468
91341,2321,2.5,1270398446
24692,588,4.5,1430726223
