Id,rating
1_2011,1.0
1_4144,1.0
1_5767,1.0
1_6711,1.0
1_7318,1.0
1_8405,1.0
1_8786,1.0
2_150,1.0
2_356,1.0
2_497,1.0
2_588,1.0
2_653,1.0
2_1080,1.0
2_1196,1.0
2_1198,1.0
2_1201,1.0
2_1299,1.0
2_1485,1.0
2_1580,1.0
2_1693,1.0
2_2028,1.0
2_2083,1.0
2_2617,1.0
2_2640,1.0
2_2918,1.0
2_3098,1.0
2_3114,1.0
2_3510,1.0
2_3994,1.0
2_4103,1.0
2_4963,1.0
2_5103,1.0
2_5955,1.0
2_6156,1.0
2_6287,1.0
2_6311,1.0
2_6753,1.0
2_7075,1.0
2_7153,1.0
2_7386,1.0
2_8961,1.0
2_30848,1.0
2_33493,1.0
2_34162,1.0
2_40815,1.0
3_1,1.0
3_260,1.0
3_858,1.0
3_1198,1.0
3_1201,1.0
3_1214,1.0
3_1217,1.0
3_1221,1.0
3_1222,1.0
3_1676,1.0
3_1909,1.0
3_1960,1.0
3_3471,1.0
3_3534,1.0
3_3730,1.0
3_3785,1.0
3_3948,1.0
3_3979,1.0
3_4025,1.0
3_4148,1.0
3_4383,1.0
3_4816,1.0
3_4979,1.0
3_5219,1.0
3_5254,1.0
3_5291,1.0
3_5313,1.0
3_5364,1.0
3_5479,1.0
3_5528,1.0
3_5669,1.0
3_5679,1.0
3_5782,1.0
3_5872,1.0
3_5900,1.0
3_5944,1.0
3_5954,1.0
3_6213,1.0
3_6323,1.0
3_6541,1.0
3_6586,1.0
3_6934,1.0
3_6952,1.0
3_7163,1.0
3_7438,1.0
3_7439,1.0
3_7445,1.0
3_8360,1.0
3_8368,1.0
3_8370,1.0
3_8529,1.0
3_8641,1.0
3_8861,1.0
3_8874,1.0
3_27706,1.0
3_27793,1.0
3_31184,1.0
3_31685,1.0
3_31696,1.0
3_31804,1.0
3_33615,1.0
3_34150,1.0
3_34162,1.0
3_35836,1.0
3_37386,1.0
3_44022,1.0
3_46972,1.0
3_47610,1.0
3_48780,1.0
3_49272,1.0
3_49278,1.0
3_49530,1.0
3_51255,1.0
3_53121,1.0
3_53129,1.0
3_53464,1.0
3_55765,1.0
3_55805,1.0
3_58559,1.0
3_59315,1.0
3_59501,1.0
3_60069,1.0
3_61350,1.0
3_64839,1.0
3_68319,1.0
3_68793,1.0
3_68952,1.0
3_71057,1.0
3_71464,1.0
3_72209,1.0
3_74789,1.0
3_76077,1.0
3_78499,1.0
3_81845,1.0
3_82202,1.0
3_85020,1.0
3_85056,1.0
3_88140,1.0
3_96610,1.0
3_97225,1.0
3_102445,1.0
3_102880,1.0
3_102903,1.0
3_103141,1.0
3_103772,1.0
3_105213,1.0
3_109374,1.0
3_109487,1.0
3_111443,1.0
3_111659,1.0
3_112138,1.0
3_114847,1.0
3_115569,1.0
3_116897,1.0
3_117529,1.0
3_122912,1.0
3_135143,1.0
3_136449,1.0
3_143385,1.0
3_151763,1.0
4_1036,1.0
4_1136,1.0
4_1196,1.0
4_1220,1.0
4_1907,1.0
4_2716,1.0
4_2985,1.0
4_3114,1.0
4_3671,1.0
4_4709,1.0
4_4816,1.0
4_5110,1.0
4_5418,1.0
4_5903,1.0
4_6863,1.0
4_7438,1.0
4_7569,1.0
4_8665,1.0
4_34048,1.0
4_45431,1.0
4_49649,1.0
4_53125,1.0
4_69122,1.0
4_77561,1.0
4_82461,1.0
4_83134,1.0
4_85414,1.0
4_86345,1.0
4_88125,1.0
4_91529,1.0
4_93510,1.0
4_93840,1.0
4_96079,1.0
4_96737,1.0
4_97304,1.0
4_103228,1.0
4_103772,1.0
4_109487,1.0
4_111759,1.0
4_111781,1.0
4_112852,1.0
4_122882,1.0
4_122918,1.0
4_134130,1.0
4_136020,1.0
4_148626,1.0
4_156706,1.0
4_159817,1.0
4_189333,1.0
5_36,1.0
5_122,1.0
5_147,1.0
5_191,1.0
5_218,1.0
5_231,1.0
5_248,1.0
5_253,1.0
5_277,1.0
5_333,1.0
5_337,1.0
5_344,1.0
5_372,1.0
5_435,1.0
5_441,1.0
5_457,1.0
5_491,1.0
5_608,1.0
5_628,1.0
5_780,1.0
5_1016,1.0
5_1196,1.0
5_1235,1.0
5_1270,1.0
6_161,1.0
6_260,1.0
6_608,1.0
6_919,1.0
6_1466,1.0
6_1704,1.0
7_17,1.0
7_165,1.0
7_185,1.0
7_308,1.0
7_590,1.0
8_10,1.0
8_25,1.0
8_27,1.0
8_50,1.0
8_69,1.0
8_207,1.0
8_237,1.0
8_260,1.0
8_356,1.0
8_440,1.0
8_588,1.0
8_593,1.0
8_750,1.0
8_923,1.0
8_953,1.0
8_1020,1.0
8_1047,1.0
8_1092,1.0
8_1210,1.0
8_1240,1.0
8_1259,1.0
8_1287,1.0
8_1358,1.0
8_1370,1.0
8_1485,1.0
8_1552,1.0
8_1573,1.0
8_1584,1.0
8_1616,1.0
8_1625,1.0
8_1645,1.0
8_1747,1.0
9_10,1.0
9_61,1.0
9_105,1.0
9_116,1.0
9_161,1.0
9_260,1.0
9_355,1.0
9_356,1.0
9_366,1.0
9_378,1.0
9_387,1.0
9_435,1.0
9_454,1.0
9_466,1.0
9_474,1.0
9_516,1.0
9_541,1.0
9_590,1.0
9_592,1.0
9_594,1.0
9_597,1.0
9_616,1.0
9_667,1.0
9_852,1.0
9_971,1.0
9_1005,1.0
9_1010,1.0
9_1011,1.0
9_1018,1.0
9_1028,1.0
9_1079,1.0
9_1097,1.0
9_1101,1.0
9_1124,1.0
9_1125,1.0
9_1127,1.0
9_1200,1.0
9_1221,1.0
9_1222,1.0
9_1258,1.0
9_1298,1.0
9_1299,1.0
9_1347,1.0
9_1372,1.0
9_1376,1.0
9_1381,1.0
10_260,1.0
10_380,1.0
10_1186,1.0
10_2094,1.0
10_2505,1.0
10_2605,1.0
10_2707,1.0
10_2944,1.0
10_4361,1.0
10_5049,1.0
10_6383,1.0
10_6953,1.0
10_7444,1.0
10_7566,1.0
10_53953,1.0
11_1207,1.0
11_2329,1.0
11_2581,1.0
11_2881,1.0
11_4210,1.0
11_33669,1.0
11_42723,1.0
12_7,1.0
12_21,1.0
12_47,1.0
12_50,1.0
12_141,1.0
12_160,1.0
12_163,1.0
12_203,1.0
12_238,1.0
12_268,1.0
12_292,1.0
12_293,1.0
12_344,1.0
12_374,1.0
12_376,1.0
12_380,1.0
12_477,1.0
12_497,1.0
12_538,1.0
12_575,1.0
12_592,1.0
12_603,1.0
12_608,1.0
12_613,1.0
12_765,1.0
12_778,1.0
12_780,1.0
12_858,1.0
12_932,1.0
12_1013,1.0
12_1015,1.0
12_1057,1.0
12_1135,1.0
12_1136,1.0
12_1183,1.0
12_1188,1.0
12_1194,1.0
12_1200,1.0
12_1225,1.0
12_1230,1.0
12_1231,1.0
12_1243,1.0
12_1258,1.0
12_1265,1.0
12_1267,1.0
12_1270,1.0
12_1387,1.0
12_1391,1.0
12_1393,1.0
12_1394,1.0
12_1474,1.0
12_1552,1.0
12_1586,1.0
12_1596,1.0
12_1644,1.0
12_1665,1.0
12_1682,1.0
12_1777,1.0
12_1876,1.0
12_1884,1.0
12_1947,1.0
12_2052,1.0
12_2081,1.0
12_2108,1.0
12_2174,1.0
12_2318,1.0
12_2336,1.0
12_2374,1.0
12_2381,1.0
12_2406,1.0
12_2420,1.0
12_2459,1.0
12_2469,1.0
12_2500,1.0
12_2599,1.0
12_2762,1.0
12_2770,1.0
12_2797,1.0
12_2863,1.0
12_2881,1.0
12_2901,1.0
12_2948,1.0
12_2987,1.0
12_3033,1.0
12_3089,1.0
12_3148,1.0
12_3186,1.0
12_3249,1.0
12_3255,1.0
12_3262,1.0
12_3264,1.0
12_3274,1.0
12_3397,1.0
12_3435,1.0
12_3478,1.0
12_3538,1.0
12_3578,1.0
12_3608,1.0
12_3633,1.0
12_3751,1.0
12_3809,1.0
12_3823,1.0
12_3897,1.0
12_4022,1.0
12_4027,1.0
12_4039,1.0
12_4080,1.0
12_4100,1.0
12_4105,1.0
12_4135,1.0
12_4246,1.0
12_4378,1.0
12_4529,1.0
12_4559,1.0
12_4703,1.0
12_5013,1.0
12_5339,1.0
12_5459,1.0
12_5481,1.0
12_5785,1.0
12_6268,1.0
12_6296,1.0
12_6297,1.0
12_6539,1.0
12_6711,1.0
12_6750,1.0
12_6863,1.0
12_6979,1.0
12_6993,1.0
12_8017,1.0
12_8040,1.0
12_8644,1.0
12_8949,1.0
12_27790,1.0
12_27831,1.0
12_32943,1.0
12_33817,1.0
12_41285,1.0
12_41712,1.0
12_44761,1.0
12_49272,1.0
12_54272,1.0
12_55820,1.0
12_56788,1.0
12_61319,1.0
12_69122,1.0
12_69481,1.0
12_72226,1.0
12_72720,1.0
12_74677,1.0
13_32,1.0
13_153,1.0
13_173,1.0
13_216,1.0
13_303,1.0
13_364,1.0
13_377,1.0
13_432,1.0
13_551,1.0
13_736,1.0
13_778,1.0
13_1089,1.0
13_1127,1.0
13_1198,1.0
13_1201,1.0
13_1214,1.0
13_1266,1.0
13_1270,1.0
13_1517,1.0
13_1721,1.0
13_1748,1.0
13_2011,1.0
13_2012,1.0
13_2060,1.0
13_2115,1.0
13_2141,1.0
13_2288,1.0
13_2502,1.0
13_2571,1.0
13_3275,1.0
13_3300,1.0
13_3508,1.0
13_3578,1.0
13_4161,1.0
13_4226,1.0
13_4247,1.0
13_5463,1.0
13_5502,1.0
13_5882,1.0
13_5956,1.0
13_5989,1.0
13_6264,1.0
13_6539,1.0
13_6934,1.0
13_6936,1.0
13_7360,1.0
13_7438,1.0
13_8366,1.0
13_8641,1.0
13_8861,1.0
13_26925,1.0
13_32031,1.0
13_33004,1.0
13_33158,1.0
13_33836,1.0
13_34111,1.0
13_34162,1.0
13_37380,1.0
13_41569,1.0
13_44195,1.0
13_47997,1.0
13_48394,1.0
13_48516,1.0
13_52321,1.0
13_53322,1.0
13_54256,1.0
13_56145,1.0
13_56757,1.0
13_59315,1.0
13_59369,1.0
13_59784,1.0
13_60037,1.0
13_60756,1.0
13_61289,1.0
13_61986,1.0
13_63072,1.0
13_65514,1.0
13_66171,1.0
13_68237,1.0
13_68554,1.0
13_68791,1.0
13_69844,1.0
13_71135,1.0
13_71379,1.0
13_74851,1.0
13_76093,1.0
13_76175,1.0
13_77364,1.0
13_78105,1.0
13_78266,1.0
13_78893,1.0
13_80939,1.0
13_87306,1.0
13_87869,1.0
13_88785,1.0
14_50,1.0
14_293,1.0
14_1265,1.0
14_2959,1.0
14_4993,1.0
14_8874,1.0
14_109374,1.0
15_349,1.0
15_543,1.0
15_1197,1.0
15_1265,1.0
15_1488,1.0
15_2165,1.0
15_2373,1.0
15_2640,1.0
15_2672,1.0
15_2735,1.0
15_2916,1.0
15_3020,1.0
15_3060,1.0
15_3298,1.0
16_318,1.0
16_1221,1.0
16_1704,1.0
16_4993,1.0
16_31658,1.0
17_77561,1.0
17_78105,1.0
17_103335,1.0
18_10,1.0
18_110,1.0
18_160,1.0
18_173,1.0
18_337,1.0
18_356,1.0
18_357,1.0
18_410,1.0
18_432,1.0
18_480,1.0
18_539,1.0
18_551,1.0
18_593,1.0
18_608,1.0
18_708,1.0
18_778,1.0
18_784,1.0
18_802,1.0
18_858,1.0
18_924,1.0
18_1094,1.0
18_1208,1.0
18_1225,1.0
18_1234,1.0
18_1265,1.0
18_1278,1.0
18_1307,1.0
18_2167,1.0
18_2268,1.0
18_2291,1.0
18_2353,1.0
18_2529,1.0
18_2571,1.0
18_2654,1.0
18_2683,1.0
18_2710,1.0
18_2797,1.0
18_3105,1.0
18_3355,1.0
18_3471,1.0
18_4270,1.0
18_4643,1.0
18_4993,1.0
18_5911,1.0
18_6754,1.0
18_6796,1.0
18_7143,1.0
18_7454,1.0
18_8623,1.0
18_8827,1.0
19_595,1.0
19_778,1.0
19_924,1.0
19_968,1.0
19_1015,1.0
19_1022,1.0
19_1200,1.0
19_1214,1.0
19_1258,1.0
19_1282,1.0
19_1287,1.0
19_1527,1.0
19_1641,1.0
19_1690,1.0
19_1809,1.0
19_1954,1.0
19_2006,1.0
19_2080,1.0
19_2313,1.0
19_2810,1.0
19_2959,1.0
19_3000,1.0
19_3785,1.0
19_4022,1.0
19_4306,1.0
19_4312,1.0
19_4366,1.0
19_4367,1.0
19_4446,1.0
19_4828,1.0
19_5378,1.0
19_5690,1.0
19_5952,1.0
19_6016,1.0
19_6333,1.0
19_6618,1.0
19_6713,1.0
19_6863,1.0
19_7438,1.0
19_8157,1.0
19_8368,1.0
19_8464,1.0
19_8644,1.0
19_26565,1.0
19_26776,1.0
19_27368,1.0
19_27815,1.0
19_30707,1.0
19_31410,1.0
