movieId,rating,title,genres
1,3.8724696356275303,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,3.4018691588785046,Jumanji (1995),Adventure|Children|Fantasy
3,3.1610169491525424,Grumpier Old Men (1995),Comedy|Romance
4,2.3846153846153846,Waiting to Exhale (1995),Comedy|Drama|Romance
5,3.267857142857143,Father of the Bride Part II (1995),Comedy
6,3.8846153846153846,Heat (1995),Action|Crime|Thriller
7,3.2830188679245285,Sabrina (1995),Comedy|Romance
8,3.8,Tom and Huck (1995),Adventure|Children
9,3.15,Sudden Death (1995),Action
10,3.4508196721311477,GoldenEye (1995),Action|Adventure|Thriller
11,3.6890243902439024,"American President, The (1995)",Comedy|Drama|Romance
12,2.861111111111111,Dracula: Dead and Loving It (1995),Comedy|Horror
13,3.9375,Balto (1995),Adventure|Animation|Children
14,3.4516129032258065,Nixon (1995),Drama
15,2.3181818181818183,Cutthroat Island (1995),Action|Adventure|Romance
16,3.9488636363636362,Casino (1995),Crime|Drama
17,3.9244186046511627,Sense and Sensibility (1995),Drama|Romance
18,3.2884615384615383,Four Rooms (1995),Comedy
19,2.597826086956522,Ace Ventura: When Nature Calls (1995),Comedy
20,2.5384615384615383,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,3.536842105263158,Get Shorty (1995),Comedy|Crime|Thriller
22,3.3552631578947367,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,3.090909090909091,Assassins (1995),Action|Crime|Thriller
24,3.0441176470588234,Powder (1995),Drama|Sci-Fi
25,3.742574257425743,Leaving Las Vegas (1995),Drama|Romance
26,4.1,Othello (1995),Drama
27,3.142857142857143,Now and Then (1995),Children|Drama
28,4.083333333333333,Persuasion (1995),Drama|Romance
29,4.025,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,4.05,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
31,3.1785714285714284,Dangerous Minds (1995),Drama
32,3.923469387755102,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
34,3.6013513513513513,Babe (1995),Children|Drama
35,3.5454545454545454,Carrington (1995),Drama|Romance
36,3.9375,Dead Man Walking (1995),Crime|Drama
37,2.0,Across the Sea of Time (1995),Documentary|IMAX
38,2.0,It Takes Two (1995),Children|Comedy
39,3.55,Clueless (1995),Comedy|Romance
40,3.9166666666666665,"Cry, the Beloved Country (1995)",Drama
41,4.021739130434782,Richard III (1995),Drama|War
42,2.3333333333333335,Dead Presidents (1995),Action|Crime|Drama
43,3.625,Restoration (1995),Drama
44,2.6973684210526314,Mortal Kombat (1995),Action|Adventure|Fantasy
45,3.5232558139534884,To Die For (1995),Comedy|Drama|Thriller
46,3.1666666666666665,How to Make an American Quilt (1995),Drama|Romance
47,4.034825870646766,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
48,2.9262295081967213,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
49,4.0,When Night Is Falling (1995),Drama|Romance
50,4.370646766169155,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
52,3.6372549019607843,Mighty Aphrodite (1995),Comedy|Drama|Romance
53,5.0,Lamerica (1994),Adventure|Drama
54,3.6666666666666665,"Big Green, The (1995)",Children|Comedy
55,3.3333333333333335,Georgia (1995),Drama
57,3.142857142857143,Home for the Holidays (1995),Drama
58,4.0,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
59,4.0,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
60,2.828125,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
61,3.5714285714285716,Eye for an Eye (1996),Drama|Thriller
62,3.689655172413793,Mr. Holland's Opus (1995),Drama
63,2.8333333333333335,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
64,2.4,Two if by Sea (1996),Comedy|Romance
65,2.025,Bio-Dome (1996),Comedy
66,2.0,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
68,3.5,French Twist (Gazon maudit) (1995),Comedy|Romance
69,3.8181818181818183,Friday (1995),Comedy
70,3.0208333333333335,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
71,2.4285714285714284,Fair Game (1995),Action
72,3.1666666666666665,Kicking and Screaming (1995),Comedy|Drama
73,4.115384615384615,"Misérables, Les (1995)",Drama|War
74,3.026315789473684,Bed of Roses (1996),Drama|Romance
76,3.3333333333333335,Screamers (1995),Action|Sci-Fi|Thriller
77,4.0,Nico Icon (1995),Documentary
78,3.2,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
79,2.9615384615384617,"Juror, The (1996)",Drama|Thriller
80,4.625,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
81,3.25,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
82,3.8,Antonia's Line (Antonia) (1995),Comedy|Drama
83,3.0,Once Upon a Time... When We Were Colored (1995),Drama|Romance
84,4.0,Last Summer in the Hamptons (1995),Comedy|Drama
85,4.0625,Angels and Insects (1995),Drama|Romance
86,3.764705882352941,White Squall (1996),Action|Adventure|Drama
87,1.6666666666666667,Dunston Checks In (1996),Children|Comedy
88,2.891304347826087,Black Sheep (1996),Comedy
89,3.4411764705882355,Nick of Time (1995),Action|Thriller
92,3.5416666666666665,Mary Reilly (1996),Drama|Horror|Thriller
93,2.227272727272727,Vampire in Brooklyn (1995),Comedy|Horror|Romance
94,3.5681818181818183,Beautiful Girls (1996),Comedy|Drama|Romance
95,3.1774193548387095,Broken Arrow (1996),Action|Adventure|Thriller
96,1.0,In the Bleak Midwinter (1995),Comedy|Drama
97,3.875,"Hate (Haine, La) (1995)",Crime|Drama
98,3.0,Shopping (1994),Action|Thriller
99,2.75,Heidi Fleiss: Hollywood Madam (1995),Documentary
100,3.4285714285714284,City Hall (1996),Drama|Thriller
101,3.8823529411764706,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
102,2.590909090909091,Mr. Wrong (1996),Comedy
103,4.0,Unforgettable (1996),Mystery|Sci-Fi|Thriller
104,3.2925531914893615,Happy Gilmore (1996),Comedy
105,3.1145833333333335,"Bridges of Madison County, The (1995)",Drama|Romance
107,3.462962962962963,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
108,4.0,Catwalk (1996),Documentary
110,3.9451754385964914,Braveheart (1995),Action|Drama|War
111,4.22457627118644,Taxi Driver (1976),Crime|Drama|Thriller
112,3.295918367346939,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
113,3.2,Before and After (1996),Drama|Mystery
114,3.0,Margaret's Museum (1995),Drama
116,4.75,Anne Frank Remembered (1995),Documentary
